id,date,store_nbr,family,sales,onpromotion,city,state,type_x,cluster,transactions,type_y,locale,locale_name,description,transferred,dcoilwtico,data
2789420,2017-04-19,25,PREPARED FOODS,30.406,0,Salinas,Santa Elena,D,1,886.0,,,,,,50.49,2017-04-19
995976,2014-07-14,54,BEVERAGES,1153.0,4,El Carmen,Manabi,C,3,791.0,,,,,,101.73,2014-07-14
2131312,2016-04-14,10,CLEANING,455.0,7,Quito,Pichincha,C,15,799.0,Holiday,Local,Libertad,Cantonizacion de Libertad,False,41.45,2016-04-14
1126985,2014-09-26,30,BEAUTY,0.0,0,Guayaquil,Guayas,C,3,626.0,,,,,,95.55,2014-09-26
571598,2013-11-17,47,BREAD/BAKERY,1666.106,0,Quito,Pichincha,A,14,5023.0,,,,,,93.8,2013-11-17
1755802,2015-09-15,24,BOOKS,0.0,0,Guayaquil,Guayas,D,1,2238.0,,,,,,44.58,2015-09-15
953167,2014-06-20,52,POULTRY,0.0,0,Manta,Manabi,A,11,0.0,Event,National,Ecuador,Mundial de futbol Brasil: Ecuador-Honduras,False,107.95,2014-06-20
2976654,2017-08-02,29,LINGERIE,5.0,0,Guayaquil,Guayas,E,10,1120.0,,,,,,49.6,2017-08-02
43469,2013-01-25,29,DAIRY,0.0,0,Guayaquil,Guayas,E,10,0.0,,,,,,95.15,2013-01-25
1771075,2015-09-23,51,SCHOOL AND OFFICE SUPPLIES,2.0,0,Guayaquil,Guayas,A,17,1659.0,,,,,,44.53,2015-09-23
102989,2013-02-27,48,PREPARED FOODS,62.654,0,Quito,Pichincha,A,14,2175.0,,,,,,92.84,2013-02-27
1903719,2015-12-07,24,HOME AND KITCHEN I,17.0,0,Guayaquil,Guayas,D,1,2466.0,,,,,,37.64,2015-12-07
2691377,2017-02-23,24,PREPARED FOODS,117.451004,1,Guayaquil,Guayas,D,1,2180.0,,,,,,54.48,2017-02-23
1153735,2014-10-11,30,"LIQUOR,WINE,BEER",119.0,0,Guayaquil,Guayas,C,3,666.0,,,,,,85.87,2014-10-11
1701942,2015-08-16,13,AUTOMOTIVE,3.0,0,Latacunga,Cotopaxi,C,15,851.0,,,,,,42.45,2015-08-16
2241402,2016-06-14,49,DELI,299.272,8,Quito,Pichincha,A,11,2441.0,,,,,,48.49,2016-06-14
436534,2013-09-02,8,EGGS,311.0,0,Quito,Pichincha,D,8,2875.0,,,,,,107.98,2013-09-02
1697376,2015-08-13,34,LINGERIE,9.0,0,Guayaquil,Guayas,B,6,1523.0,,,,,,42.27,2015-08-13
685510,2014-01-21,43,BABY CARE,0.0,0,Esmeraldas,Esmeraldas,E,10,1244.0,,,,,,94.51,2014-01-21
2809007,2017-04-30,25,HARDWARE,5.0,0,Salinas,Santa Elena,D,1,1768.0,,,,,,49.31,2017-04-30
1950059,2016-01-03,24,MAGAZINES,6.0,0,Guayaquil,Guayas,D,1,0.0,,,,,,37.13,2016-01-03
1678003,2015-08-02,40,LADIESWEAR,0.0,0,Machala,El Oro,C,3,1472.0,,,,,,47.11,2015-08-02
2757115,2017-04-01,19,SCHOOL AND OFFICE SUPPLIES,0.0,0,Guaranda,Bolivar,C,15,1924.0,Holiday,Regional,Cotopaxi,Provincializacion de Cotopaxi,False,50.54,2017-04-01
507564,2013-10-12,5,MEATS,303.82,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1386.0,,,,,,102.17,2013-10-12
2857367,2017-05-27,31,PREPARED FOODS,67.052,0,Babahoyo,Los Rios,B,10,1395.0,,,,,,49.58,2017-05-27
829501,2014-04-12,33,GROCERY II,0.0,0,Quevedo,Los Rios,C,3,1194.0,Holiday,Local,Cuenca,Fundacion de Cuenca,False,103.68,2014-04-12
293336,2013-06-14,39,SEAFOOD,12.258,0,Cuenca,Azuay,B,6,1283.0,,,,,,97.83,2013-06-14
756811,2014-03-02,43,"LIQUOR,WINE,BEER",723.0,0,Esmeraldas,Esmeraldas,E,10,1384.0,Holiday,Local,Manta,Fundacion de Manta,False,102.88,2014-03-02
1896218,2015-12-03,14,BREAD/BAKERY,174.0,0,Riobamba,Chimborazo,C,7,1350.0,,,,,,41.08,2015-12-03
2907198,2017-06-24,3,PRODUCE,9610.667,1,Quito,Pichincha,D,8,3501.0,,,,,,42.86,2017-06-24
2550417,2016-12-05,2,GROCERY I,4575.0,101,Quito,Pichincha,D,13,2023.0,Additional,Local,Quito,Fundacion de Quito-1,False,51.72,2016-12-05
2139434,2016-04-18,38,FROZEN FOODS,77.0,2,Loja,Loja,D,4,1552.0,Event,National,Ecuador,Terremoto Manabi+2,False,39.74,2016-04-18
469474,2013-09-21,31,HOME AND KITCHEN II,0.0,0,Babahoyo,Los Rios,B,10,1291.0,,,,,,104.7,2013-09-21
1222055,2014-11-18,47,SEAFOOD,89.905,0,Quito,Pichincha,A,14,3315.0,,,,,,74.55,2014-11-18
1855604,2015-11-10,24,HARDWARE,0.0,0,Guayaquil,Guayas,D,1,2243.0,Holiday,Local,Guaranda,Independencia de Guaranda,False,44.23,2015-11-10
1589808,2015-06-14,17,AUTOMOTIVE,6.0,0,Quito,Pichincha,C,12,1411.0,,,,,,59.96,2015-06-14
2880423,2017-06-09,29,HOME CARE,137.0,13,Guayaquil,Guayas,E,10,1011.0,,,,,,45.82,2017-06-09
667797,2014-01-11,46,DELI,1056.248,0,Quito,Pichincha,A,14,4851.0,,,,,,92.39,2014-01-11
2741872,2017-03-23,41,BABY CARE,0.0,0,Machala,El Oro,D,4,867.0,,,,,,47.0,2017-03-23
2875161,2017-06-06,31,BEVERAGES,3126.0,27,Babahoyo,Los Rios,B,10,1358.0,,,,,,48.13,2017-06-06
1792821,2015-10-06,12,PRODUCE,339.917,75,Latacunga,Cotopaxi,C,15,1100.0,,,,,,48.53,2015-10-06
2725821,2017-03-14,40,LINGERIE,12.0,0,Machala,El Oro,C,3,1495.0,,,,,,47.24,2017-03-14
737652,2014-02-19,7,BEVERAGES,2181.0,0,Quito,Pichincha,D,8,1931.0,,,,,,103.46,2014-02-19
1450766,2015-03-28,15,LAWN AND GARDEN,0.0,0,Ibarra,Imbabura,C,15,1276.0,,,,,,48.83,2015-03-28
458092,2013-09-15,12,LADIESWEAR,0.0,0,Latacunga,Cotopaxi,C,15,1341.0,,,,,,108.31,2013-09-15
1086252,2014-09-03,37,MEATS,263.117,0,Cuenca,Azuay,D,2,1684.0,,,,,,95.5,2014-09-03
1901352,2015-12-05,8,MEATS,668.527,0,Quito,Pichincha,D,8,3125.0,Additional,Local,Quito,Fundacion de Quito-1,False,40.0,2015-12-05
1219535,2014-11-17,27,LAWN AND GARDEN,12.0,0,Daule,Guayas,D,1,1333.0,,,,,,75.64,2014-11-17
330392,2013-07-05,29,PREPARED FOODS,0.0,0,Guayaquil,Guayas,E,10,0.0,,,,,,103.09,2013-07-05
1276496,2014-12-19,25,MAGAZINES,4.0,0,Salinas,Santa Elena,D,1,1067.0,,,,,,56.91,2014-12-19
2047036,2016-02-26,45,GROCERY II,42.0,0,Quito,Pichincha,A,11,3352.0,,,,,,31.65,2016-02-26
210397,2013-04-29,12,"LIQUOR,WINE,BEER",5.0,0,Latacunga,Cotopaxi,C,15,1244.0,Holiday,National,Ecuador,Viernes Santo,False,94.09,2013-04-29
2141492,2016-04-19,45,MAGAZINES,22.0,0,Quito,Pichincha,A,11,3622.0,Event,National,Ecuador,Terremoto Manabi+3,False,40.88,2016-04-19
2547031,2016-12-03,24,PERSONAL CARE,417.0,8,Guayaquil,Guayas,D,1,2346.0,,,,,,51.7,2016-12-03
1877196,2015-11-22,3,MEATS,999.071,0,Quito,Pichincha,D,8,3781.0,,,,,,39.39,2015-11-22
1281848,2014-12-22,25,PREPARED FOODS,50.746,0,Salinas,Santa Elena,D,1,1130.0,Holiday,Local,Salinas,Cantonizacion de Salinas,False,55.25,2014-12-22
838577,2014-04-17,38,HARDWARE,0.0,0,Loja,Loja,D,4,1955.0,,,,,,104.33,2014-04-17
2923247,2017-07-03,30,DAIRY,330.0,21,Guayaquil,Guayas,C,3,734.0,Holiday,Local,El Carmen,Cantonizacion de El Carmen,False,46.02,2017-07-03
2351670,2016-08-15,42,MEATS,151.26,0,Cuenca,Azuay,D,2,972.0,Holiday,Local,Riobamba,Fundacion de Riobamba,False,45.72,2016-08-15
2237605,2016-06-12,42,CLEANING,867.0,4,Cuenca,Azuay,D,2,1228.0,,,,,,49.09,2016-06-12
326536,2013-07-03,21,BABY CARE,0.0,0,Santo Domingo,Santo Domingo de los Tsachilas,B,6,0.0,Holiday,Local,El Carmen,Cantonizacion de El Carmen,False,101.92,2013-07-03
2545446,2016-12-02,3,MEATS,1751.666,54,Quito,Pichincha,D,8,3307.0,,,,,,51.7,2016-12-02
2848166,2017-05-22,24,BEAUTY,3.0,1,Guayaquil,Guayas,D,1,2087.0,,,,,,50.81,2017-05-22
1810621,2015-10-16,12,EGGS,39.0,0,Latacunga,Cotopaxi,C,15,1161.0,,,,,,47.3,2015-10-16
1629195,2015-07-06,21,HOME CARE,0.0,0,Santo Domingo,Santo Domingo de los Tsachilas,B,6,0.0,,,,,,52.48,2015-07-06
1281344,2014-12-22,11,LAWN AND GARDEN,1.0,0,Cayambe,Pichincha,B,6,3467.0,Holiday,Local,Salinas,Cantonizacion de Salinas,False,55.25,2014-12-22
1551301,2015-05-23,36,BOOKS,0.0,0,Libertad,Guayas,E,10,1246.0,,,,,,58.88,2015-05-23
